year,month,day,P(mm/d),E(mm/d),Q(mm/d),T(°C)
2004,9,2,0.1,2.113637,0.3737625,12.64771
2004,9,3,0.2,2.284305,0.346875,14.42729
2004,9,4,0.1,2.757288,0.339225,17.27375
2004,9,5,0.2,2.852728,0.3222375,17.85604
2004,9,6,0.2,2.882288,0.3153375,18.04875
2004,9,7,0.3,2.759263,0.3139125,16.94062
2004,9,8,0.2,2.680601,0.3196125,16.84771
2004,9,9,0.2,2.677378,0.3204375,16.20688
2004,9,10,0.2,2.387042,0.3312,14.46521
2004,9,11,0.1,2.376496,0.34845,15.47687
2004,9,12,3.3,2.716567,0.3891,17.79917
2004,9,13,1.3,2.149183,0.3948,13.90312
2004,9,14,0,2.107571,0.4035,14.17583
2004,9,15,1.2,1.976001,0.4006125,12.93854
2004,9,16,1.4,1.704098,0.375375,10.94667
2004,9,17,0.2,1.448402,0.3735,8.206458
2004,9,18,0.2,1.587894,0.3730875,9.945833
2004,9,19,0.1,1.871197,0.39345,12.5775
2004,9,20,1,1.978648,0.4003875,13.175
2004,9,21,0.1,1.634728,0.4027125,11.24875
2004,9,22,0,1.840719,0.4004625,12.77917
2004,9,23,1.7,1.640583,0.4221375,11.41521
2004,9,24,9.6,1.869767,0.4984875,13.13792
2004,9,25,0.3,1.48158,0.476475,9.583542
2004,9,26,1.6,1.552072,0.46965,10.29688
2004,9,27,0.3,1.701439,0.477,11.75646
2004,9,28,1.1,1.707937,0.4552125,12.30396
2004,9,29,0.6,1.918793,0.4237125,14.05583
2004,9,30,0.1,1.802173,0.4184625,12.76187
2004,10,1,0.1,1.592697,0.414525,11.25125
2004,10,2,2.3,1.870887,0.4210875,13.52354
2004,10,3,0.1,1.646764,0.3916125,11.76208
2004,10,4,0.2,1.448458,0.3787125,10.13063
2004,10,5,0.1,1.877995,0.3672,13.68563
2004,10,6,1.1,2.073062,0.364275,15.56792
2004,10,7,4.8,1.500013,0.388425,10.64417
2004,10,8,0.3,1.218998,0.363825,7.851042
2004,10,9,1.8,1.205347,0.375075,7.82125
2004,10,10,0.8,1.369293,0.3861375,9.282083
2004,10,11,0.1,1.256048,0.389925,8.072083
2004,10,12,0,1.158983,0.392475,7.568333
2004,10,13,0,1.209478,0.4032375,8.098958
2004,10,14,0,1.27022,0.4210875,8.939792
2004,10,15,8.8,1.358412,0.4713,9.904375
2004,10,16,6.7,1.145263,0.5736375,7.524583
2004,10,17,4.2,1.05341,0.536325,6.360833
2004,10,18,6,1.068011,0.6070125,6.746667
2004,10,19,1,1.118989,0.520725,7.395625
2004,10,20,0.2,1.071919,0.4814625,6.799375
2004,10,21,13,1.69434,0.7048875,13.67438
2004,10,22,4.1,1.454203,0.79635,11.17667
2004,10,23,0.2,1.153814,0.44025,8.668125
2004,10,24,0.3,1.585888,0.417675,13.33
2004,10,25,2.2,1.457917,0.41925,12.32667
2004,10,26,0.2,1.476742,0.4625625,12.13271
2004,10,27,0.1,1.06086,0.4741125,7.631042
2004,10,28,1.4,1.060081,0.5040375,7.495833
2004,10,29,8.6,1.32757,0.7627875,10.925
2004,10,30,7.2,1.257509,0.78915,9.856458
2004,10,31,1.7,1.106807,0.6949875,8.555208
2004,11,1,0,1.089128,0.537075,8.170625
2004,11,2,0.8,1.114508,0.5192625,8.44125
2004,11,3,2.4,1.132146,0.5229375,8.9825
2004,11,4,1.8,1.165112,0.535575,9.608542
2004,11,5,8.5,1.214399,0.9264375,10.23021
2004,11,6,0.2,0.9872853,0.5686125,6.736458
2004,11,7,2.1,0.9161867,0.5176875,6.377292
2004,11,8,0.4,0.8776983,0.5407875,5.249167
2004,11,9,1.2,0.7714481,0.536325,3.96625
2004,11,10,0.1,0.6820809,0.5360625,1.668333
2004,11,11,5.1,0.6343335,0.588975,1.342292
2004,11,12,0.2,0.6871911,0.5899125,2.405417
2004,11,13,0.2,0.7144714,0.5376375,3.087292
2004,11,14,0.1,0.7467596,0.523725,3.318958
2004,11,15,0.1,0.6498458,0.5098125,1.28875
2004,11,16,0.3,0.5261134,0.49065,-0.5697917
2004,11,17,0.1,0.7804892,0.4846125,4.825625
2004,11,18,1.2,0.9692749,0.493275,8.065417
2004,11,19,7.5,0.9393669,0.5381625,7.52
2004,11,20,7.1,0.6592451,0.9834,2.188958
2004,11,21,0.2,0.4911742,0.5158125,-1.085
2004,11,22,1.5,0.5215181,0.4497,-0.483125
2004,11,23,1,0.9227881,0.4578375,8.266458
2004,11,24,2.4,0.943699,0.4707,7.68
2004,11,25,0.2,0.5339188,0.4294875,-0.178125
2004,11,26,0.2,0.4981881,0.4063875,-1.545417
2004,11,27,0.1,0.6245914,0.4031625,2.6
2004,11,28,2.2,0.839671,0.4203,6.680625
2004,11,29,0.3,0.8040129,0.414,5.901458
2004,11,30,0,0.7893474,0.3981375,5.534583
2004,12,1,0.1,0.6858214,0.3943875,2.7
2004,12,2,5.3,0.6522361,0.470175,2.878542
2004,12,3,1.6,0.6546811,0.472275,3.085833
2004,12,4,0.2,0.6343503,0.454425,2.644375
2004,12,5,0,0.4875218,0.4308,-0.9064583
2004,12,6,0.1,0.4631441,0.425025,-1.321875
2004,12,7,0,0.6280405,0.42135,2.4425
2004,12,8,0,0.6087703,0.41295,1.921458
2004,12,9,0.1,0.6529787,0.4179375,3.2425
2004,12,10,0,0.5383515,0.440775,0.11875
2004,12,11,0.1,0.422851,0.4497,-2.881667
2004,12,12,0,0.3872977,0.46545,-3.684583
2004,12,13,0,0.3944114,0.4675875,-3.585
2004,12,14,0,0.3857142,0.4888125,-3.769375
2004,12,15,0,0.363615,0.4518,-4.374375
2004,12,16,0,0.3932182,0.4557375,-3.520833
2004,12,17,3.1,0.4902821,0.4877625,-0.5652083
2004,12,18,13.9,0.6691674,0.880125,3.80125
2004,12,19,3.2,0.611173,0.654,2.396042
2004,12,20,7.2,0.5502534,0.908775,0.5772917
2004,12,21,0,0.3892653,0.5371875,-4.417083
2004,12,22,0,0.3102131,0.4693875,-6.681875
2004,12,23,0,0.4280471,0.41205,-2.271458
2004,12,24,3.2,0.6583146,0.459375,4.123958
2004,12,25,3.6,0.8281793,0.567225,7.130208
2004,12,26,6.3,0.6941871,0.8395125,3.9725
2004,12,27,0,0.5527822,0.4917,0.805625
2004,12,28,0.2,0.4746404,0.4252875,-2.059167
2004,12,29,0,0.4642913,0.455475,-1.310417
2004,12,30,4.7,0.5442014,0.3989625,0.6616667
2004,12,31,1.9,0.5549419,0.398775,1.216875
2005,1,1,1.3,0.6894726,0.5570625,4.445625
2005,1,2,2,0.8096346,0.542925,6.6425
2005,1,3,1.9,0.6931758,0.6037875,4.120625
2005,1,4,0.5,0.6132231,0.490125,2.78375
2005,1,5,0,0.6386116,0.4413,2.9375
2005,1,6,4.3,0.6912808,0.4331625,4.160417
2005,1,7,0.6,0.7893056,0.4693875,5.831042
2005,1,8,0.3,0.9149299,0.4279125,7.951042
2005,1,9,2.8,0.8233667,0.4455,6.325208
2005,1,10,0,0.7597027,0.4525875,5.3875
2005,1,11,1.3,0.9431185,0.4371,7.869583
2005,1,12,2.6,0.8727531,0.443925,7.06875
2005,1,13,5.1,0.8354181,0.4720125,6.255
2005,1,14,0.3,0.6119324,0.458625,1.961667
2005,1,15,0.2,0.4819481,0.4035,-1.068125
2005,1,16,0,0.4505649,0.398775,-2.618542
2005,1,17,0.1,0.3954557,0.386625,-4.236042
2005,1,18,2.9,0.5186266,0.3745875,-0.1308333
2005,1,19,18.1,0.7058651,1.830975,3.403333
2005,1,20,1.4,0.6284215,0.758325,2.045208
2005,1,21,9.3,0.902652,0.8058,7.326458
2005,1,22,5.3,0.7698514,1.29015,4.665
2005,1,23,0.5,0.6219703,0.6652875,1.216875
2005,1,24,0,0.5759695,0.5311875,0.3020833
2005,1,25,0,0.4979846,0.4709625,-1.559792
2005,1,26,0,0.439901,0.429225,-3.529375
2005,1,27,0,0.4464809,0.386625,-3.179167
2005,1,28,0,0.4250468,0.3774375,-4.0175
2005,1,29,0,0.5114991,0.35595,-1.482708
2005,1,30,0,0.4399706,0.3536625,-4.117083
2005,1,31,0,0.4875022,0.339225,-2.20375
2005,2,1,1,0.6468565,0.3406125,1.774792
2005,2,2,0.8,0.7295738,0.3535875,2.690417
2005,2,3,0.6,0.7273596,0.339075,2.952083
2005,2,4,2.1,0.7654879,0.36765,3.024583
2005,2,5,0.1,0.6740511,0.35325,1.101667
2005,2,6,0.2,0.5420755,0.356625,-1.495625
2005,2,7,0.2,0.5622185,0.34815,-1.428542
2005,2,8,0,0.5549156,0.34605,-1.188958
2005,2,9,0,0.5920999,0.3455625,-0.4939583
2005,2,10,0.1,0.6052468,0.342975,-0.099375
2005,2,11,8.4,0.782225,0.39,3.909167
