year,month,day,P(mm/d),E(mm/d),Q_obs(mm/d)
1985,1,2,0.1,3.83002,0.2646
1985,1,3,4.2,3.83002,0.4426105
1985,1,4,0,3.83002,0.3278842
1985,1,5,13.2,3.83002,0.5415158
1985,1,6,2.4,3.83002,0.6209053
1985,1,7,14.3,3.83002,1.255737
1985,1,8,4.4,3.83002,0.7436842
1985,1,9,1.7,3.83002,0.4998316
1985,1,10,0,3.83002,0.2404421
1985,1,11,73.6,3.83002,27.27445
1985,1,12,12.5,3.83002,9.322863
1985,1,13,28.8,3.83002,20.34786
1985,1,14,4.5,3.83002,8.321779
1985,1,15,0.7,3.83002,2.6154
1985,1,16,0,3.83002,1.284632
1985,1,17,0,3.83002,0.7806316
1985,1,18,0,3.83002,0.664579
1985,1,19,0,3.83002,0.4436526
1985,1,20,0,3.83002,0.5167895
1985,1,21,10.2,3.83002,0.8257263
1985,1,22,0.1,3.83002,0.7330736
1985,1,23,38.5,3.83002,7.130653
1985,1,24,7.4,3.83002,6.315821
1985,1,25,11.6,3.83002,4.054926
1985,1,26,4.8,3.83002,5.349221
1985,1,27,21.7,3.83002,10.0765
1985,1,28,0,3.83002,8.067221
1985,1,29,0,3.83002,2.557421
1985,1,30,0,3.83002,1.534832
1985,1,31,0,3.83002,0.7624421
1985,2,1,0,3.83002,0.6407053
1985,2,2,15.5,3.59002,0.9910421
1985,2,3,15,3.59002,4.991968
1985,2,4,1.7,3.59002,1.295337
1985,2,5,0,3.59002,0.7198105
1985,2,6,0,3.59002,0.5662421
1985,2,7,0,3.59002,0.4458316
1985,2,8,0.2,3.59002,0.3369079
1985,2,9,0.7,3.59002,0.1528353
1985,2,10,0.8,3.59002,0.08265001
1985,2,11,0,3.59002,0.0783051
1985,2,12,0,3.59002,0.07486407
1985,2,13,0,3.59002,0.0715554
1985,2,14,0,3.59002,0.06837111
1985,2,15,1.2,3.59002,0.0653038
1985,2,16,14.2,3.59002,0.7552808
1985,2,17,0,3.59002,0.2855369
1985,2,18,0.1,3.59002,0.1696737
1985,2,19,2.1,3.59002,0.2239579
1985,2,20,4.8,3.59002,0.3717474
1985,2,21,0,3.59002,0.2715158
1985,2,22,0,3.59002,0.1360421
1985,2,23,0,3.59002,0.05864835
1985,2,24,0,3.59002,0.05539756
1985,2,25,0,3.59002,0.0527809
